kepid,dr25_offset_as,dr25_offset_err_as
1432789,1.5698,0.684
1724961,0.91668,0.669
2308957,0.023366,0.0773
2309568,0.3838,0.239
2309910,3.4216,0.078
2579147,0.060236,0.435
2696938,5.7222,0.119
2987027,0.51636,0.0692
3103212,0.11349,0.353
2570767,4.8273,1.12
2438249,0.3779,0.191
2852528,1.0463,1.44
2859299,11.175,0.974
2693092,0.24963,0.0672
2575964,7.5348,0.461
2994888,0.20446,0.355
2995392,0.16719,0.547
2715282,0.19452,0.469
3859079,0.12416,0.228
3728432,0.21813,0.162
3868759,1.338,0.547
3557560,0.76327,1.16
3629330,0.066465,0.338
3831523,0.51612,0.321
3850331,0.24962,0.439
3239171,1.1441,0.45
3342952,10.526,0.266
3241604,3.0129,1.15
4466356,5.0282,0.123
4355012,0.2193,0.514
4636578,0.24355,0.144
4579651,1.0709,0.557
4349442,0.089248,0.0963
4282872,0.13027,0.0766
4173026,0.25037,0.17
4242692,0.53975,0.206
4139816,0.15446,0.0916
4044005,0.037556,0.0707
5092266,0.25731,0.32
4850809,2.6658,0.694
4951877,0.67463,0.255
4947556,0.1179,0.423
4939533,0.29926,0.526
4768668,0.24144,0.42
4847534,0.36177,0.127
4843037,0.41562,0.73
5531953,0.38593,0.509
5471328,1.8397,0.488
5480640,0.294,0.169
5629538,0.35657,0.281
5599774,0.04311,0.516
5561278,0.49504,0.364
5636642,0.18847,0.0723
5370646,0.34848,0.508
5428657,0.67407,0.121
5390694,0.31043,0.229
5308419,8.629,0.0735
5385141,2.3805,0.813
5456359,0.020045,0.145
5263749,0.17339,0.0953
5437348,0.91154,0.484
5264304,0.1532,0.105
6060355,0.83105,0.391
5952457,3.3611,0.608
6022556,0.13893,0.0741
6035335,0.18009,0.0868
5978361,0.15288,0.108
5709725,0.15907,0.179
5774349,0.46795,0.183
5814013,4.7626,0.52
5819157,0.62969,0.426
5716932,0.34103,0.39
6522144,2.3527,0.918
6464285,0.13358,0.0672
6357958,0.10003,0.1
6392601,0.25486,0.109
6233748,0.28853,0.372
6233890,10.787,0.0802
6292452,0.21445,0.294
6197810,0.87873,0.278
6206627,0.13828,0.23
6307537,0.051675,0.0679
6309129,2.3493,1.27
6145939,0.3518,0.0688
6119141,11.493,1.57
7008211,0.5968,0.369
6960913,0.13858,0.109
6952259,0.053529,0.269
7031638,1.0051,0.856
7033671,0.055353,0.191
6867555,0.20887,0.192
7031126,0.98988,0.673
6863839,10.914,0.601
6965758,0.53525,0.364
6594972,0.090062,0.0705
6586052,2.3947,1.02
6782960,0.11617,0.109
7303287,0.078704,0.0687
7304449,0.68322,0.104
7382313,0.53043,0.318
7357531,1.1974,0.18
7199037,4.4817,0.801
7098355,0.15301,0.171
7219825,0.29843,0.146
7281468,0.34935,0.78
7211469,0.40972,0.423
7200463,1.955,0.754
7105574,0.061654,0.0673
7199883,1.4903,0.699
7281864,0.55822,0.438
7115332,4.7893,0.679
7177766,1.2295,0.761
7918652,0.85278,0.364
7837302,0.09002,0.0675
7951018,0.056249,0.0747
7832829,0.65892,1.22
7877496,0.045246,0.0677
7777471,2.8295,0.943
7601917,0.41162,0.251
7605093,0.26186,0.278
7668648,0.15643,0.0671
7749552,0.20576,0.135
7691260,0.17327,0.322
8265156,0.6669,0.543
8265218,0.12525,0.0977
8222627,0.3486,0.269
8265876,0.14175,0.608
8189801,0.073485,0.308
8240904,0.24834,0.158
8280511,0.35636,0.249
8210018,0.2904,0.183
8164262,0.1294,0.124
8082001,0.21733,0.101
8013439,2.4595,0.866
8539939,0.67899,0.907
8591693,0.39524,0.657
8494783,0.44332,0.306
8495232,6.419,0.545
8631504,0.85969,0.463
8554701,0.50332,0.228
8414216,0.88789,0.301
8424446,1.8685,0.458
8359498,0.15266,0.0676
8445775,0.097096,0.0689
8458662,0.21708,0.199
8367410,1.0733,0.43
8429528,0.2492,0.308
9011825,0.38719,0.346
8978630,0.448,0.583
9031703,0.12409,0.726
9092529,0.050524,0.0696
8718273,0.96146,0.585
8765560,1.0702,0.533
8848271,3.0035,0.07
8840083,0.1307,0.212
8701099,0.14782,0.0783
8802693,0.25155,0.155
9569838,1.4277,0.917
9488445,3.326,0.287
9413156,0.6225,0.615
9351205,0.14058,0.0913
9345771,2.4436,0.432
9456389,0.11578,0.203
9512687,0.3189,0.146
9450647,0.26201,0.162
9307105,6.4022,0.0676
9099927,3.5149,0.727
9100953,0.5992,0.833
9305831,0.21986,0.069
9839821,1.0248,0.559
9947653,0.33075,0.669
9823487,0.15346,0.126
9845573,0.72495,1.06
9833599,2.7933,0.656
9895006,0.82921,0.228
9895709,3.555,0.104
9886361,0.38208,0.239
9762713,2.4269,0.58
9605514,0.37174,0.205
9597729,4.7384,1.04
9715925,0.053243,0.0685
9636559,0.35547,0.0706
9712799,0.36522,0.292
10273384,3.4696,0.877
10333254,0.23253,0.237
10345862,0.10338,0.0696
10351767,0.50161,0.0679
10480921,9.1763,0.503
10296029,1.9929,0.684
10083623,0.40999,0.0823
10141900,1.6249,0.847
10198662,0.29612,0.384
10158729,0.37649,0.293
9991621,8.0868,0.281
10202759,6.5284,0.0775
10139305,0.44322,0.0847
10140274,2.0566,0.652
11031512,0.2165,0.566
10867062,0.25548,0.272
10880041,0.36471,0.635
10803371,0.2894,0.0943
11074835,0.57596,0.564
11014282,1.2004,0.288
10933561,0.49987,0.308
10659313,0.084662,0.0671
10651945,0.15924,0.0685
10550660,7.5015,0.082
10538176,0.50646,0.15
10586208,0.13448,0.229
10777903,2.3982,0.904
11548140,0.25983,0.0729
11700185,3.9155,1.68
11612280,1.3364,0.443
11655826,0.5709,0.933
11701407,0.47614,0.341
11567149,2.7825,0.719
11521048,3.1126,0.0774
11499228,0.26544,0.202
11499757,0.18001,0.0698
11133306,0.1305,0.178
11198723,0.032169,0.0672
11389737,0.045321,0.176
11337141,0.75607,0.23
11125613,0.52067,0.238
11303811,0.098866,0.0684
11152625,0.47402,0.824
12266636,0.33143,0.236
12600735,0.2019,0.102
12647577,0.42524,0.895
12119295,1.7391,0.533
12253474,0.25382,0.829
12120307,0.20072,0.646
12206271,0.29719,0.398
12416987,0.14494,0.215
12257999,0.01213,0.183
12156347,0.48201,0.52
11922678,3.2381,0.761
12061756,0.3526,0.327
11923270,0.69016,0.086
11962284,0.15992,0.332
11872139,1.2192,0.554
11774303,0.54592,0.114
11872848,0.14123,0.112
