quarter,oot_row,oot_col,oot_ra_h,oot_dec,kic_row,kic_col,kic_ra_h,kic_dec
1,162.53,1020.45,19.89821085,40.07584609,162.54,1020.49,19.89821400,40.07587000
2,161.12,1025.16,19.89821165,40.07582994,161.14,1025.20,19.89821400,40.07587000
3,166.59,1025.76,19.89821072,40.07586505,166.58,1025.79,19.89821400,40.07587000
4,164.16,1019.92,19.89820982,40.07585880,164.14,1019.97,19.89821400,40.07587000
5,162.57,1020.50,19.89821179,40.07585750,162.57,1020.52,19.89821400,40.07587000
6,161.15,1025.18,19.89821442,40.07580564,161.20,1025.21,19.89821400,40.07587000
7,166.58,1025.76,19.89820881,40.07585973,166.56,1025.81,19.89821400,40.07587000
8,164.15,1019.93,19.89820860,40.07583678,164.15,1019.99,19.89821400,40.07587000
9,162.53,1020.45,19.89821203,40.07586615,162.52,1020.47,19.89821400,40.07587000
10,161.14,1025.19,19.89821376,40.07581541,161.19,1025.21,19.89821400,40.07587000
11,166.59,1025.74,19.89820825,40.07584511,166.59,1025.81,19.89821400,40.07587000
12,164.12,1019.91,19.89820852,40.07585088,164.11,1019.97,19.89821400,40.07587000
13,162.53,1020.46,19.89821227,40.07585154,162.53,1020.48,19.89821400,40.07587000
14,161.17,1025.17,19.89821426,40.07580764,161.22,1025.19,19.89821400,40.07587000
15,166.60,1025.74,19.89820790,40.07585188,166.58,1025.81,19.89821400,40.07587000
16,164.18,1019.88,19.89821200,40.07585807,164.18,1019.91,19.89821400,40.07587000
