# Gaia DR3 sources within 40 arcsec of KIC 4951877 marked in the figure
# ra, dec [deg]; phot_g_mean_mag [mag]; dra_as, ddec_as, sep_as [arcsec] from the target; x_pix, y_pix [pixel, 0-based] on the STACK WCS
# target at x_pix=2.489, y_pix=1.525
source_id,ra,dec,phot_g_mean_mag,dra_as,ddec_as,sep_as,x_pix,y_pix
2073562489151839872,298.473178196931,40.07586578535615,14.590293,-0.088,-0.015,0.089,2.468,1.532
2073562489139827328,298.47476038242974,40.07436057788198,20.828262,4.271,-5.434,6.911,2.807,-0.185
2073562489151838080,298.47115309107204,40.07474864241858,17.786575,-5.666,-4.037,6.957,0.754,1.288
2073562695310268032,298.46999211787977,40.07557601906455,17.513193,-8.864,-1.058,8.927,0.389,2.326
2073562489139836032,298.47667739460576,40.07464002833335,20.13963,9.552,-4.428,10.528,4.102,-0.579
2073562691000222080,298.4694798867575,40.074983606691504,18.170513,-10.275,-3.191,10.759,-0.175,2.016
2073562484835192576,298.47650811255767,40.077765305487176,17.903767,9.085,6.823,11.362,5.312,1.983
2073562690993616768,298.4689570186854,40.07719379238082,18.280115,-11.716,4.766,12.648,0.433,3.957
2073562489139809152,298.4728863100039,40.07217737729199,20.61172,-0.892,-13.293,13.323,0.738,-1.332
2073562489139816960,298.47447365353065,40.07219801038225,20.425549,3.481,-13.219,13.67,1.721,-1.827
2073562690993638272,298.4733863971846,40.07973742843457,18.116688,0.486,13.923,13.931,4.223,4.57
2073562695298263040,298.4718334576548,40.07962374037559,20.812704,-3.792,13.513,14.035,3.222,4.979
2073562489139825152,298.477032082657,40.07233073991784,19.436777,10.529,-12.741,16.529,3.349,-2.545
2073562484835152384,298.47880606863123,40.07358736846894,19.591656,15.415,-8.217,17.469,4.967,-2.109
2073562484835133568,298.472221297705,40.07099301853189,17.920164,-2.724,-17.557,17.767,-0.169,-2.068
2073562489151840128,298.47683793316133,40.0716075883852,19.251024,9.994,-15.345,18.312,2.926,-3.062
2073562489139791104,298.4686785316776,40.07210314945439,19.399927,-12.483,-13.561,18.431,-1.878,-0.036
2073562489139793024,298.46935234011914,40.071607809919946,17.199772,-10.627,-15.344,18.664,-1.673,-0.651
2073562489139791232,298.46834986304367,40.07221301484241,18.813477,-13.388,-13.165,18.777,-2.034,0.158
2073562489139806208,298.47323218868127,40.07064898907713,19.20639,0.061,-18.796,18.796,0.307,-2.67
2073562489151834496,298.4693005226431,40.071458535806656,16.229666,-10.769,-15.881,19.188,-1.767,-0.754
2073562489151847168,298.47950819937256,40.0781695924094,17.555885,17.35,8.279,19.224,7.324,1.34
2073562489139856000,298.48132238171354,40.07555682065392,20.531212,22.347,-1.127,22.376,7.34,-1.339
2073562695298238848,298.46650196491504,40.0795505204376,20.263721,-18.479,13.25,22.738,-0.084,6.638
2073562690993584512,298.4654448480755,40.07350509359654,18.855442,-21.391,-8.514,23.023,-3.275,2.13
2073562592219078912,298.48116310971955,40.07824669302601,19.717731,21.908,8.556,23.52,8.373,0.869
2073562695298287232,298.47593034100646,40.08242532437917,20.778324,7.494,23.599,24.76,6.916,5.906
2073562690993628672,298.46454018617806,40.07840058708417,17.385082,-23.883,9.11,25.561,-1.772,6.348
2073562695310276992,298.4749393530707,40.08298658818162,20.526194,4.764,25.62,26.059,6.543,6.675
2073562592231065856,298.48189934252724,40.07884311273991,15.430679,23.936,10.703,26.22,9.076,1.111
2073562484835111552,298.4713079267877,40.06866717777501,18.259287,-5.24,-25.93,26.454,-1.708,-3.639
2073562690993561984,298.4657864129743,40.070933762194606,19.780539,-20.45,-17.77,27.092,-4.147,-0.042
2073562695298207104,298.4642578090291,40.07266035786583,20.897606,-24.661,-11.555,27.233,-4.359,1.835
2073562489139822336,298.47847296040305,40.06919151919313,20.443308,14.498,-24.043,28.075,2.914,-5.527
2073562695298273408,298.47134529559514,40.08354791469748,19.727968,-5.137,27.64,28.114,4.572,8.283
2073562592219089536,298.4830047699071,40.07829322881667,18.231586,26.982,8.724,28.357,9.524,0.313
2073562690993682816,298.4716272696326,40.08370441910035,20.395676,-4.36,28.204,28.539,4.811,8.318
2073562691004538368,298.47227092612417,40.08413877578626,19.61605,-2.587,29.768,29.88,5.389,8.459
2073562489139845504,298.4825633900685,40.070798978359846,20.158155,25.766,-18.256,31.578,6.103,-5.555
2073562592219093632,298.4845244471536,40.07782390846476,19.540781,31.168,7.034,31.952,10.26,-0.552
2073562592231067904,298.48465340882547,40.07810459721568,20.558834,31.523,8.045,32.533,10.458,-0.369
2073562695298281216,298.47215377866195,40.08494205052028,20.056492,-2.91,32.659,32.789,5.654,9.141
