Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Mact
1,7.51,0.05,0.10156,-2.107,3.484,4.435,6.3,0.029,0.0,16.337,16.144,14.385,13.871,13.609,0.102
1,7.93,-0.09,0.07038,-2.808,3.446,4.824,7.8,0.036,0.0,19.589,19.549,17.546,17.025,16.747,0.07
1,8.61,-0.21,0.97785,-0.13,3.758,4.535,11.5,0.038,0.0,16.595,16.047,15.475,15.143,15.099,0.978
1,8.63,-0.13,0.07778,-3.154,3.418,5.1,7.6,0.035,0.0,20.255,20.376,18.142,17.612,17.323,0.078
1,8.69,0.05,2.92671,2.077,3.686,2.517,8.2,0.037,0.0,7.779,7.183,6.362,5.86,5.775,2.927
1,8.71,-0.13,0.10172,-2.799,3.472,5.078,8.5,0.037,0.0,20.267,20.118,18.295,17.763,17.503,0.102
1,9.05,0.03,1.77354,1.14,3.854,3.91,7.0,0.033,0.0,8.921,8.557,8.269,8.153,8.128,1.774
1,9.05,0.23,0.52388,-1.342,3.595,4.824,8.1,0.036,0.0,16.225,15.762,14.518,13.868,13.73,0.524
1,9.07,0.01,0.10295,-3.03,3.453,5.24,8.6,0.037,0.0,20.945,20.878,18.913,18.383,18.116,0.103
1,9.07,0.49,0.26735,-2.021,3.544,5.01,10.4,0.038,0.0,20.221,19.846,18.417,17.866,17.636,0.267
1,9.09,0.17,0.23634,-2.12,3.539,5.035,7.0,0.033,0.0,17.069,16.703,15.25,14.705,14.474,0.236
1,9.23,-0.03,0.37608,-1.69,3.575,4.949,8.5,0.037,0.0,17.496,17.033,15.738,15.17,14.991,0.376
1,9.23,0.07,0.21294,-2.193,3.54,5.063,10.0,0.038,0.0,20.252,19.888,18.436,17.89,17.659,0.213
1,9.25,-0.13,2.84985,-2.935,4.011,8.231,8.4,0.037,0.0,20.507,20.837,20.856,20.901,20.899,0.737
1,9.25,0.11,0.30922,-1.883,3.557,4.986,9.5,0.038,0.0,18.977,18.569,17.195,16.632,16.418,0.309
1,9.27,-0.15,0.25586,-2.003,3.561,5.04,9.0,0.038,0.0,18.778,18.343,17.017,16.457,16.248,0.256
1,9.27,0.01,0.32535,-1.827,3.565,4.982,10.0,0.038,0.0,19.339,18.907,17.568,17.003,16.804,0.325
1,9.27,0.05,0.79427,-0.615,3.68,4.62,9.5,0.038,0.0,15.807,15.221,14.382,13.84,13.761,0.794
1,9.29,-0.23,0.14608,-2.588,3.505,5.156,6.2,0.028,0.0,17.44,17.163,15.557,15.012,14.769,0.146
1,9.33,-0.05,1.02535,-0.006,3.764,4.457,13.1,0.038,0.0,17.884,17.336,16.786,16.472,16.43,1.025
