# NASA Exoplanet Archive cumulative KOI table, downloaded 2026-08-22 15:44 UTC+1.
# Columns used by fpp/own_fpp.py, in the archive's row order: kepoi_name [-],
# koi_disposition [-], koi_period [d], koi_prad [R_earth].
kepoi_name,koi_disposition,koi_period,koi_prad
K00752.01,CONFIRMED,9.48803557,2.26
K00752.02,CONFIRMED,54.4183827,2.83
K00753.01,CANDIDATE,19.89913995,14.6
K00754.01,FALSE POSITIVE,1.736952453,33.46
K00755.01,CONFIRMED,2.525591777,2.75
K00756.01,CONFIRMED,11.09432054,3.9
K00756.02,CONFIRMED,4.13443512,2.77
K00756.03,CONFIRMED,2.56658897,1.59
K00114.01,FALSE POSITIVE,7.36178958,39.21
K00757.01,CONFIRMED,16.06864674,5.76
K00001.01,CONFIRMED,2.470613377,13.04
K00002.01,CONFIRMED,2.204735417,16.1
K00010.01,CONFIRMED,3.522498429,14.59
K00112.02,CONFIRMED,3.709214104,1.16
K00742.01,FALSE POSITIVE,11.521446064,150.51
K00743.01,FALSE POSITIVE,19.40393776,7.18
K00744.01,FALSE POSITIVE,19.221388942,49.29
K00745.01,FALSE POSITIVE,16.46983774,7.94
K00746.01,CONFIRMED,9.27358173,2.47
K00747.01,CONFIRMED,6.02930329,2.85
K00748.01,FALSE POSITIVE,2.696370652,1.58
K00749.01,CONFIRMED,5.349553819,2.55
K00749.02,CONFIRMED,3.94105221,1.7
K00749.03,CONFIRMED,8.10904807,1.3
K00113.01,FALSE POSITIVE,386.6030528,41.5
K00750.01,CONFIRMED,21.67699193,2.95
K00751.01,CONFIRMED,4.99677968,2.78
K00769.01,CONFIRMED,4.280963604,2.3
K00770.01,FALSE POSITIVE,1.50635409,4.53
K00771.01,FALSE POSITIVE,670.645531,14.14
K00772.01,FALSE POSITIVE,61.2563628,39.87
K00773.01,CONFIRMED,38.3775486,2.82
K00757.02,CONFIRMED,41.19725502,3.86
K00757.03,CONFIRMED,6.252962249,2.65
K00758.01,CONFIRMED,16.01308419,3.1
K00759.01,CONFIRMED,32.62876672,3.36
K00759.02,CONFIRMED,91.7732862,2.12
K00760.01,CONFIRMED,4.959319244,12.21
K00761.01,FALSE POSITIVE,2.701287801,6.54
K00762.01,CONFIRMED,4.49876511,2.1
K00763.01,FALSE POSITIVE,19.651209505,12.42
K00115.01,CONFIRMED,5.412203927,2.94
K00764.01,CONFIRMED,41.43958662,5.5
K00765.01,CONFIRMED,8.35389523,2.52
K00766.01,CONFIRMED,4.125543472,4.43
K00767.01,CONFIRMED,2.816504904,12.21
K00768.01,FALSE POSITIVE,33.93373447,7.34
K00786.01,CONFIRMED,3.689920099,1.89
K00787.01,CONFIRMED,4.431238488,3.25
K00787.02,CONFIRMED,11.37936986,3.95
K00788.01,CONFIRMED,26.39432897,3.07
K00116.01,CONFIRMED,13.57078281,2.64
K00115.02,CONFIRMED,7.12594387,1.79
K00774.01,FALSE POSITIVE,7.442652004,15.03
K00775.01,CONFIRMED,16.38489988,2.0
K00775.02,CONFIRMED,7.8774163,2.16
K00775.03,CONFIRMED,36.4454001,1.99
K00776.01,CONFIRMED,3.728732147,6.02
K00777.01,CANDIDATE,40.4195037,7.51
K00778.01,CONFIRMED,2.243380573,1.99
