lhood_heb L_heb pr_heb lhood_heb_Px2 L_heb_Px2 pr_heb_Px2 lhood_eb L_eb pr_eb lhood_eb_Px2 L_eb_Px2 pr_eb_Px2 lhood_beb L_beb pr_beb lhood_beb_Px2 L_beb_Px2 pr_beb_Px2 lhood_pl L_pl pr_pl fpV fp FPP
0.00e+00 0.00e+00 0.00e+00 5.06e-80 1.61e-85 4.73e-83 3.15e-273 6.12e-276 1.79e-273 1.27e-97 2.73e-102 8.00e-100 4.13e-04 6.80e-07 1.99e-04 2.67e-22 3.20e-25 9.37e-23 7.43e-01 3.41e-03 1.00e+00 0.00354 0.089 1.99e-04
0.00e+00 0.00e+00 0.00e+00 6.70e-90 4.02e-95 1.24e-92 3.82e-259 7.62e-262 2.35e-259 1.28e-95 4.11e-100 1.27e-97 3.08e-04 4.88e-07 1.50e-04 6.48e-22 7.59e-25 2.34e-22 7.07e-01 3.24e-03 1.00e+00 0.00267 0.089 1.50e-04
0.00e+00 0.00e+00 0.00e+00 3.18e-91 1.61e-96 4.65e-94 3.76e-273 7.61e-276 2.20e-273 2.71e-89 6.43e-94 1.86e-91 4.20e-04 6.76e-07 1.95e-04 8.28e-22 9.63e-25 2.78e-22 7.55e-01 3.46e-03 1.00e+00 0.00347 0.089 1.95e-04
0.00e+00 0.00e+00 0.00e+00 1.56e-87 7.64e-93 2.22e-90 2.40e-279 4.79e-282 1.39e-279 7.58e-92 1.97e-96 5.71e-94 2.62e-04 4.18e-07 1.21e-04 4.74e-22 5.72e-25 1.66e-22 7.51e-01 3.45e-03 1.00e+00 0.00215 0.089 1.21e-04
0.00e+00 0.00e+00 0.00e+00 4.76e-93 2.32e-98 6.49e-96 7.09e-285 1.35e-287 3.79e-285 3.89e-100 1.10e-104 3.08e-102 4.35e-04 6.96e-07 1.95e-04 3.64e-27 4.30e-30 1.20e-27 7.79e-01 3.57e-03 1.00e+00 0.00346 0.089 1.95e-04
0.00e+00 0.00e+00 0.00e+00 1.64e-96 1.05e-101 2.99e-99 1.64e-278 3.33e-281 9.52e-279 1.45e-93 3.44e-98 9.81e-96 2.44e-04 3.96e-07 1.13e-04 2.57e-22 3.12e-25 8.91e-23 7.63e-01 3.50e-03 1.00e+00 0.002 0.089 1.13e-04
0.00e+00 0.00e+00 0.00e+00 9.22e-87 3.64e-92 1.07e-89 6.80e-269 1.39e-271 4.08e-269 5.13e-103 1.61e-107 4.71e-105 3.38e-04 5.42e-07 1.59e-04 1.20e-27 1.47e-30 4.30e-28 7.43e-01 3.41e-03 1.00e+00 0.00282 0.089 1.59e-04
0.00e+00 0.00e+00 0.00e+00 1.45e-95 7.92e-101 2.32e-98 2.97e-256 5.60e-259 1.64e-256 2.79e-99 6.61e-104 1.94e-101 6.52e-04 1.06e-06 3.12e-04 8.04e-22 9.78e-25 2.87e-22 7.42e-01 3.41e-03 1.00e+00 0.00554 0.089 3.12e-04
0.00e+00 0.00e+00 0.00e+00 7.95e-96 5.22e-101 1.57e-98 3.84e-266 7.54e-269 2.26e-266 3.37e-93 8.76e-98 2.63e-95 6.95e-04 1.14e-06 3.41e-04 5.69e-21 6.77e-24 2.03e-21 7.26e-01 3.33e-03 1.00e+00 0.00606 0.089 3.41e-04
0.00e+00 0.00e+00 0.00e+00 1.11e-93 5.43e-99 1.59e-96 1.03e-275 2.03e-278 5.96e-276 2.92e-95 6.47e-100 1.90e-97 2.57e-04 4.17e-07 1.22e-04 2.71e-21 3.23e-24 9.47e-22 7.43e-01 3.41e-03 1.00e+00 0.00217 0.089 1.22e-04
