# 5-sigma contrast curves of the archival follow-up images (Section 5.2)
# 157 rows
#
# band              [-]  U, B, V (WIYN 0.9 m) or J (UKIRT WFCAM)
# separation_as     [arcsec]  separation from the target
# delta_mag_5sigma  [mag]  faintest companion detectable at 5 sigma
band,separation_as,delta_mag_5sigma
U,1.701,1.749
U,2.342,4.263
U,2.983,4.599
U,3.624,5.679
U,4.265,4.452
U,4.906,4.346
U,5.547,4.269
U,6.189,4.484
U,6.83,4.432
U,7.471,4.393
U,8.112,4.914
U,8.753,4.798
U,9.394,4.078
U,10.035,4.225
U,10.676,4.4
U,11.317,4.797
U,11.958,4.41
U,12.599,4.629
U,13.24,4.401
U,13.882,4.334
U,14.523,4.318
U,15.164,4.493
U,15.805,4.455
U,16.446,4.499
U,17.087,4.475
U,17.728,4.513
B,1.701,2.061
B,2.291,3.736
B,2.881,5.333
B,3.471,5.332
B,4.061,5.883
B,4.651,5.098
B,5.241,5.409
B,5.831,5.047
B,6.42,5.101
B,7.01,4.996
B,7.6,5.106
B,8.19,5.579
B,8.78,5.052
B,9.37,5.579
B,9.96,5.555
B,10.55,4.982
B,11.14,5.281
B,11.729,5.119
B,12.319,4.777
B,12.909,5.068
B,13.499,5.411
B,14.089,5.804
B,14.679,5.384
B,15.269,5.211
B,15.859,5.65
B,16.449,5.279
B,17.038,5.178
B,17.628,5.309
V,1.701,2.732
V,2.317,4.366
V,2.932,4.898
V,3.548,6.423
V,4.163,5.893
V,4.779,6.316
V,5.395,6.704
V,6.01,6.325
V,6.626,5.76
V,7.241,5.855
V,7.857,5.916
V,8.472,5.911
V,9.088,5.937
V,9.703,5.721
V,10.319,5.738
V,10.934,6.063
V,11.55,5.61
V,12.166,5.795
V,12.781,5.703
V,13.397,6.14
V,14.012,6.528
V,14.628,6.267
V,15.243,6.044
V,15.859,6.076
V,16.474,6.079
V,17.09,5.784
V,17.705,5.585
J,0.802,2.984
J,1.153,3.91
J,1.504,5.077
J,1.855,7.013
J,2.206,6.663
J,2.557,6.539
J,2.907,7.211
J,3.258,6.701
J,3.609,6.591
J,3.96,6.782
J,4.311,6.591
J,4.662,6.413
J,5.012,7.211
J,5.363,6.701
J,5.714,6.701
J,6.065,7.181
J,6.416,6.771
J,6.767,6.482
J,7.117,6.915
J,7.468,6.721
J,7.819,6.556
J,8.17,6.608
J,8.521,6.741
J,8.872,6.824
J,9.222,6.682
J,9.573,6.608
J,9.924,6.428
J,10.275,6.761
J,10.626,6.741
J,10.977,6.591
J,11.327,6.608
J,11.678,6.915
J,12.029,6.701
J,12.38,6.761
J,12.731,6.963
J,13.082,6.413
J,13.432,6.523
J,13.783,6.782
J,14.134,6.782
J,14.485,6.868
J,14.836,6.988
J,15.187,6.963
J,15.537,6.915
J,15.888,6.721
J,16.239,6.824
J,16.59,6.963
J,16.941,6.741
J,17.292,6.556
J,17.642,6.803
J,17.993,6.523
J,18.344,6.49
J,18.695,6.591
J,19.046,6.626
J,19.397,6.824
J,19.747,6.761
J,20.098,6.663
J,20.449,6.782
J,20.8,6.927
J,21.151,6.891
J,21.502,6.761
J,21.852,6.741
J,22.203,6.782
J,22.554,6.682
J,22.905,6.701
J,23.256,6.891
J,23.607,6.782
J,23.957,6.824
J,24.308,6.761
J,24.659,6.824
J,25.01,6.626
J,25.361,6.591
J,25.712,6.523
J,26.062,6.868
J,26.413,6.761
J,26.764,6.556
J,27.115,6.682
