run,seed,FPP,NFPP,n_stars,n_duplicates_removed,aperture_pixels,n_draws
1,20260905,2.220446049250313e-16,2.805202650083664e-16,55,4,4,100000
2,20260906,1.9288781683002298e-10,1.3258008843753854e-17,55,4,4,100000
3,20260907,4.2643666375852263e-13,6.649661078900544e-14,55,4,4,100000
4,20260908,1.844524533112235e-12,1.843459243849769e-12,55,4,4,100000
5,20260909,1.1102230246251565e-16,4.237201769572781e-18,55,4,4,100000
6,20260910,9.243024456928595e-09,2.6902388232284023e-11,55,4,4,100000
7,20260911,1.958900393006502e-07,1.855154360255263e-10,55,4,4,100000
8,20260912,2.4313884239290928e-14,2.3432730629245196e-14,55,4,4,100000
9,20260913,8.979406107556542e-11,1.3038035161005392e-13,55,4,4,100000
10,20260914,2.0270137046640713e-07,2.0270137049551896e-07,55,4,4,100000
11,20260915,0.011318730491282847,3.0241014868173305e-09,55,4,4,100000
12,20260916,6.335980527372165e-05,4.72879318176545e-05,55,4,4,100000
13,20260917,1.5069612224749562e-10,8.858182477133503e-16,55,4,4,100000
14,20260918,0.005878854406133338,6.5881436088351924e-18,55,4,4,100000
15,20260919,6.957189516709761e-07,6.957189516337907e-07,55,4,4,100000
16,20260920,1.543203391740633e-07,7.546463868693394e-08,55,4,4,100000
17,20260921,9.880984919163893e-15,9.744034985649589e-15,55,4,4,100000
18,20260922,0.0004433965347030444,1.1913106544837075e-14,55,4,4,100000
19,20260923,9.8333620135449e-08,9.83330305927375e-08,55,4,4,100000
20,20260924,1.3342915661240795e-10,1.2863587291657095e-10,55,4,4,100000
