# KIC neighbours within 25 arcsec of a DR25 object of interest with r - J < -0.5 (Section 2.6)
# 135 rows
#
# koi          [-]  DR25 object of interest
# disposition  [-]  DR25 disposition of that object
# kic          [-]  KIC identifier of the neighbour
# ra           [deg]  KIC right ascension, J2000
# dec          [deg]  KIC declination, J2000
# sep_as       [arcsec]  separation from the object of interest
# kepmag       [mag]  KIC Kepler magnitude
# rmag         [mag]  KIC r magnitude
# jmag         [mag]  KIC J magnitude
# r_minus_J    [mag]  KIC r minus KIC J
# gaia_G       [mag]  Gaia DR3 G of the best match within 2 arcsec; blank if none
# G_minus_r    [mag]  Gaia G minus KIC r; blank if no match
koi,disposition,kic,ra,dec,sep_as,kepmag,rmag,jmag,r_minus_J,gaia_G,G_minus_r
K03919.01,FALSE POSITIVE,4649406,290.13202,39.761051,21.688004,10.731,10.67,16.102,-5.432,,
K00975.01,CONFIRMED,3632399,287.35422,38.713818,21.360565,11.52,11.52,16.393,-4.873000000000001,,
K05617.01,FALSE POSITIVE,9116066,299.96768,45.442356,24.256508,12.564,12.511,16.592,-4.0809999999999995,18.424706,5.913706000000001
K02212.01,CONFIRMED,10203328,290.03741,47.259502,15.330246,12.289,12.214,15.872,-3.6579999999999995,,
K03675.01,FALSE POSITIVE,9596126,294.97058,46.22551,20.749645,12.542,12.475,15.73,-3.255000000000001,20.838654,8.363653999999999
K07828.01,FALSE POSITIVE,7210776,294.86145,42.796104,24.842646,12.49,12.49,15.466,-2.975999999999999,16.57008,4.080080000000001
K02782.01,FALSE POSITIVE,10275784,292.5524,47.323647,21.559143,13.406,13.34,16.268,-2.928000000000001,,
K03834.01,FALSE POSITIVE,3836413,286.94046,38.923927,12.974787,13.76,13.76,16.643,-2.883000000000001,18.674805,4.914804999999999
K00043.01,FALSE POSITIVE,9025929,293.26849,45.351532,6.866188,12.2,12.2,15.05,-2.8500000000000014,20.939402,8.739402000000002
K03596.01,FALSE POSITIVE,9025929,293.26849,45.351532,15.218721,12.2,12.2,15.05,-2.8500000000000014,20.939402,8.739402000000002
K03769.01,FALSE POSITIVE,6543682,297.54327,41.951748,13.571084,13.908,13.838,16.46,-2.6220000000000017,18.041544,4.203543999999999
K05298.01,FALSE POSITIVE,6543682,297.54327,41.951748,5.501041,13.908,13.838,16.46,-2.6220000000000017,18.041544,4.203543999999999
K03866.01,FALSE POSITIVE,5215985,298.58072,40.365723,4.290759,14.063,14.034,16.6,-2.5660000000000007,18.366995,4.332994999999999
K03920.01,FALSE POSITIVE,2437446,290.2258,37.767056,22.462516,12.473,12.429,14.995,-2.565999999999999,16.862883,4.433883
K02533.01,CONFIRMED,11074831,286.71472,48.639893,19.512508,12.446,12.379,14.902,-2.5229999999999997,20.010536,7.631535999999999
K06805.01,FALSE POSITIVE,7031726,291.18686,42.591022,4.823484,11.476,11.425,13.775,-2.3499999999999996,,
K02647.01,CONFIRMED,11962274,290.98129,50.304626,22.04783,13.797,13.74,16.067,-2.327,21.538748,7.798747999999998
K06557.01,CANDIDATE,5295215,296.92941,40.433933,16.053494,14.038,14.031,16.235,-2.203999999999999,18.69636,4.665359999999998
K03922.01,FALSE POSITIVE,7024511,288.9256,42.531509,12.716693,12.655,12.588,14.708,-2.120000000000001,20.361284,7.773284000000002
K04010.01,FALSE POSITIVE,5288570,295.50107,40.410225,3.181537,12.99,12.905,14.942,-2.037000000000001,16.141834,3.236834
K06555.01,FALSE POSITIVE,5288570,295.50107,40.410225,23.948874,12.99,12.905,14.942,-2.037000000000001,16.141834,3.236834
K02711.01,CONFIRMED,5272214,290.93643,40.48138,22.589846,13.412,13.366,15.305,-1.939,19.774496,6.4084959999999995
K02711.02,CONFIRMED,5272214,290.93643,40.48138,22.589846,13.412,13.366,15.305,-1.939,19.774496,6.4084959999999995
K03579.01,FALSE POSITIVE,5024252,295.29333,40.183308,18.978086,13.322,13.243,15.152,-1.908999999999999,16.582937,3.339937000000001
K04055.01,FALSE POSITIVE,3228848,289.76956,38.384838,14.01497,14.193,14.195,16.102,-1.907,17.483446,3.2884460000000004
K01704.01,CONFIRMED,7386815,298.01111,42.956203,9.84503,14.626,14.586,16.376,-1.790000000000001,17.971193,3.3851929999999992
K03513.01,FALSE POSITIVE,9851178,298.80954,46.662941,24.898716,14.66,14.66,16.394,-1.7339999999999982,18.493914,3.833914
K04676.02,FALSE POSITIVE,4953160,298.741,40.070393,9.026077,12.993,12.945,14.659,-1.7140000000000004,16.932285,3.987285
K04055.01,FALSE POSITIVE,3228847,289.76932,38.385525,14.490246,14.791,14.744,16.435,-1.690999999999999,17.584087,2.8400870000000005
K01762.01,FALSE POSITIVE,5387830,298.13,40.529449,11.117577,13.338,13.343,15.03,-1.6869999999999994,20.319151,6.9761510000000015
K06311.01,FALSE POSITIVE,3337351,290.11569,38.40419,17.849847,13.361,13.38,14.943,-1.5629999999999988,15.980051,2.600050999999999
K05020.01,FALSE POSITIVE,3859892,293.93439,38.943073,6.522109,14.11,14.11,15.666,-1.556000000000001,20.580862,6.470862
K01003.01,FALSE POSITIVE,2438541,290.33224,37.724277,15.19101,14.897,14.892,16.443,-1.551000000000002,17.707657,2.8156570000000016
K01944.01,CONFIRMED,2438541,290.33224,37.724277,10.999783,14.897,14.892,16.443,-1.551000000000002,17.707657,2.8156570000000016
K01944.02,FALSE POSITIVE,2438541,290.33224,37.724277,10.999783,14.897,14.892,16.443,-1.551000000000002,17.707657,2.8156570000000016
K00970.01,FALSE POSITIVE,11502259,289.10284,49.424156,22.533877,14.661,14.696,16.216,-1.5200000000000014,,
K08266.01,FALSE POSITIVE,6946986,291.29633,42.443855,22.016505,15.439,15.324,16.843,-1.5190000000000001,19.918869,4.594869000000001
K01552.01,CANDIDATE,7984036,298.92358,43.754227,15.170665,14.01,14.01,15.51,-1.5,17.353178,3.343178
K01544.01,FALSE POSITIVE,5024482,295.32501,40.187576,11.687057,12.203,12.095,13.589,-1.4939999999999998,,
K07555.01,FALSE POSITIVE,5024482,295.32501,40.187576,24.036877,12.203,12.095,13.589,-1.4939999999999998,,
K07714.01,FALSE POSITIVE,5024482,295.32501,40.187576,23.315662,12.203,12.095,13.589,-1.4939999999999998,,
K03513.01,FALSE POSITIVE,9851126,298.79532,46.670448,21.392573,13.183,13.156,14.646,-1.4900000000000002,16.465158,3.3091579999999983
K00501.01,CANDIDATE,4951867,298.47089,40.075279,6.736785,14.83,14.805,16.291,-1.4860000000000007,,
K00696.01,CANDIDATE,8869664,284.87463,45.136898,16.723848,15.045,14.984,16.47,-1.4859999999999989,17.586082,2.602082000000001
K03156.01,CANDIDATE,4150654,289.75085,39.267231,23.308542,15.116,14.924,16.402,-1.4780000000000015,,
K03156.02,FALSE POSITIVE,4150654,289.75085,39.267231,23.308542,15.116,14.924,16.402,-1.4780000000000015,,
