koi,kepid,FPP,NFPP,plx_source,real_aperture,n_dupes_removed,n_stars,pass_fpp,pass_nfpp,n_draws,contrast_curve,contrast_filt
K00501.01_cc01,4951877,2.3888096767343825e-07,2.377369552515355e-07,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc02,4951877,0.0,2.5211691622678845e-18,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc03,4951877,4.052536084486746e-12,1.87465197072315e-12,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc04,4951877,0.0,3.120784736561415e-18,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc05,4951877,2.7977620220553945e-14,1.030289938399615e-17,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc06,4951877,3.6637359812630166e-15,2.0720848029847356e-17,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc07,4951877,5.225375687700762e-12,5.225248878049565e-12,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc08,4951877,5.551115123125783e-16,4.2030403857684366e-16,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc09,4951877,3.2593715593165484e-07,3.2593715605552796e-07,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc10,4951877,1.6829315718780435e-11,6.367065525333364e-19,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc11,4951877,0.014317789970436756,1.1316973866676718e-09,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc12,4951877,0.0,2.8649786444092185e-18,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc13,4951877,0.0,3.867962906790428e-18,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc14,4951877,0.0,1.6840658620314634e-18,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc15,4951877,1.5009849621661076e-05,1.500984962173444e-05,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc16,4951877,2.6137415132243547e-07,1.7869440461029095e-07,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc17,4951877,4.395457220418564e-09,4.395457132258596e-09,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc18,4951877,2.1094237467877974e-15,2.2096758541763547e-15,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc19,4951877,4.440892098500626e-16,3.3691605921079545e-18,Gaia DR3,True,4,55,True,True,100000,True,J
K00501.01_cc20,4951877,2.1223865998010183e-09,4.33877899314874e-18,Gaia DR3,True,4,55,True,True,100000,True,J
